pathway	AD01	AD04	AD05	AD07	AD08	AD09	AD10	AD100	AD101	AD102	AD103	AD104	AD105	AD106	AD107	AD108	AD109	AD11	AD110	AD111	AD112	AD113	AD114	AD116	AD118	AD119	AD12	AD120	AD121	AD122	AD123	AD125	AD126	AD127	AD13	AD14	AD16	AD17	AD18	AD19	AD20	AD21	AD22	AD23	AD24	AD25	AD26	AD27	AD29	AD30	AD31	AD32	AD33	AD34	AD35	AD36	AD37	AD40	AD41	AD47	AD50	AD53	AD54	AD55	AD58	AD59	AD60	AD61	AD62	AD63	AD64	AD65	AD66	AD67	AD68	AD69	AD70	AD71	AD74	AD75	AD76	AD77	AD78	AD79	AD80	AD83	AD84	AD85	AD86	AD88	AD89	AD90	AD91	AD92	AD93	AD94	AD96	AD97	AD98	AD99	C01	C02	C03	C05	C07	C08	C09	C10	C11	C12	C13	C15	C16	C17	C18	C19	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29	C30	C31	C32	C33	C34	C35	C36	C39	C40	C42	C43	C44	C46	C49	C50	C51	C52	C54	C55	C57	C58	C59	C60	C61	C62	C63	C64	C71	C72	C73	C74	C75	C76	C77	C78	C79	C80	C81	C82	C83	C84	C85	C86	C87	C88	Description
ARGSYNBSUB-PWY	10639.3284	14029.0916	21369.0223	15543.9869	6178.0716	19212.286	8981.052	23867.5723	18427.4434	22063.9234	9578.3629	14434.6256	10996.3314	25573.261	18908.7342	14896.304	25789.6352	18787.7275	8753.7395	15801.9999	19814.5044	20004.4355	17200.3378	20358.9438	25437.8845	25514.8205	12218.1117	31682.0652	31661.0844	30811.9307	16884.2948	11333.584	25093.2194	29652.203	14073.7922	10874.8637	9228.0935	15492.4911	14755.5407	21055.4716	14522.2134	5385.8946	17493.0487	14977.5081	16811.9037	16860.0576	16891.0869	17256.9578	28473.1355	25587.163	25744.8621	28890.643	24997.0891	11000.9456	17546.2549	41173.731	22107.3045	13898.2244	13036.4011	8232.2325	23137.825	33691.7581	23610.0978	21964.8195	21088.4584	16460.6067	31929.8429	32791.8648	24152.5381	15925.891	18835.1736	19134.8729	18209.6994	24720.8931	3905.6633	19352.9366	18271.9475	26248.7741	20749.0645	17285.8459	20032.7657	14353.7833	33701.6677	37664.4771	26955.5949	17955.8585	18812.9316	20962.5975	22948.452	23202.6972	20097.2585	30110.1781	25121.0449	33381.9236	35476.9545	21133.7879	17366.9316	15820.8688	35290.8919	25859.9759	20404.9658	26167.3914	24912.5208	21383.1266	23741.6536	22770.7657	25331.7744	19760.9511	16955.8186	17525.5893	22987.7274	22327.5347	12466.825	34023.9665	24201.4494	21982.1138	16758.5178	33895.9487	19197.2119	15710.0941	14361.3767	15126.6419	20915.8245	18593.8143	12083.5051	23675.9621	17354.3662	16827.7845	15890.3029	18929.9093	15721.2603	23157.9381	21061.6893	16091.9185	32253.0959	14999.0024	12384.855	11854.6803	16075.3562	23139.0345	13066.4471	13066.3238	34654.7845	38784.2379	25956.3847	15449.4581	21138.7054	13346.3605	27381.234	13902.7612	23003.863	19599.8838	15168.5307	18374.3535	24334.6484	14374.6762	21421.0228	15356.9236	14865.807	23901.0535	26290.5104	18165.9814	17671.9653	14975.1164	22191.0825	9062.4807	11661.8767	9280.4207	20328.498	19869.1599	14230.519	L-arginine biosynthesis II (acetyl cycle)
ARO-PWY	12405.9316	18560.8326	20191.2113	22540.6368	17929.8098	24366.0408	12957.1676	28010.5374	21942.3532	29751.3998	15049.7347	19498.3151	16908.0868	28974.8995	29900.773	21365.3149	29635.7491	25460.8566	26232.1728	22905.3391	28573.7361	27705.1787	24328.4363	26888.5075	30671.2958	30579.2413	14967.3567	35741.2654	43984.2928	44959.7127	24298.8993	23754.3461	33029.6631	34287.9888	16498.8845	15668.8976	13034.2527	17400.0936	16317.2377	25711.2171	15867.6028	11297.3673	18697.2095	16024.4963	20195.9071	17415.2636	17777.7607	17984.9684	31480.7159	27664.7472	29252.7921	38687.1475	31940.8941	22147.9981	20102.8806	42619.0482	24774.899	18955.3391	19600.0983	13208.9427	32065.9449	41692.1377	27021.2954	26561.4571	24099.1552	23697.2709	34272.4495	31172.6157	25339.907	19487.1877	20776.4962	22967.8799	20337.3911	31353.0247	2618.0478	23659.6187	18995.6537	29522.8523	23331.456	23456.0874	29568.6007	21640.1137	36523.3008	48021.351	35450.7201	27233.5818	26928.1705	26863.4284	27482.7005	27382.4757	30818.5359	32846.4028	29306.2071	32031.5635	36379.2309	32267.5124	20926.1381	20101.5411	34545.3312	26536.4262	22040.0108	34131.2232	28102.5028	24222.5553	23715.0587	24357.1046	27308.3962	22570.6683	18157.0307	19995.1838	24215.5654	24006.824	15225.5138	38406.7425	29998.3718	24615.8479	22325.0	38364.1	23695.7657	18657.1613	17730.8403	21052.5874	26452.0116	22581.9798	18025.766	28221.1392	19651.1447	17445.3473	17915.4796	21885.6646	28194.2461	26550.9186	21851.7707	22332.1111	37781.3726	18312.4666	16537.0379	17798.0936	18347.0756	28834.5856	15555.8785	15528.6404	39096.7158	40567.8158	27948.0042	21892.9145	33011.1531	21034.7048	39875.0456	21241.306	31660.1609	21226.6479	18102.6351	28920.7526	29820.1897	18086.0262	25621.556	20676.896	17581.3286	25638.0884	36583.5377	19871.3578	20320.0882	17468.031	25474.0947	8235.434	13973.6364	13825.8173	23657.5327	23384.8186	17472.5657	chorismate biosynthesis I
ASPASN-PWY	7904.9726	12082.4536	13313.5316	18040.1969	6910.9812	17719.5505	9424.5978	13311.7672	18626.4291	22489.8083	14211.9068	14392.1383	16666.2738	17681.2868	23838.6841	15891.6285	12169.7215	21161.4226	274.3651	22004.1832	20012.1462	27390.7599	21622.3211	22510.3177	18347.3979	18424.9712	10604.0111	20653.3121	33152.6318	34216.1245	23372.2302	11772.0156	24373.3422	31531.3926	15063.519	14266.5282	7920.958	6299.7839	9699.237	13335.6208	7598.0893	5093.9388	7790.7477	13646.5227	14885.0437	7251.9646	8990.2514	2253.2576	17037.8777	16659.606	12210.3037	34209.8615	16994.0022	12584.6723	14273.0642	5394.1383	12897.1095	12834.3086	13566.6913	17306.0468	25164.2935	17491.965	18556.7785	15558.6325	11572.5285	16496.9436	10575.4733	29714.0805	9856.1396	12994.5624	17286.3403	15851.1923	8218.2356	16738.6303	5078.8435	18625.359	4803.0602	9458.8102	9563.2635	20360.8258	18327.2768	22956.6013	23921.9464	21546.2116	28889.7254	15578.2443	17564.7909	22313.0323	15696.9566	21417.875	22861.4035	15746.4281	25107.8635	7117.2144	14421.2522	27006.1121	21303.7708	20964.7344	10725.013	11585.3406	16291.1507	27737.3646	20127.0956	21606.6133	21178.3209	18203.6185	22188.1471	19939.196	15964.7417	16544.3034	17136.6068	18887.2972	15881.1297	35515.9187	23319.1893	16080.7717	16836.2741	34754.4253	18922.0491	12379.8178	12399.4373	18188.5686	20386.6785	16683.4584	12070.4188	21474.7235	16343.4184	12401.8348	14417.4839	11607.815	16489.88	21396.9353	13498.5123	21837.0962	34628.7451	14776.1631	14464.97	13834.5244	15568.6338	21612.6797	12580.8819	12561.5373	39725.6588	33676.6882	24844.6938	14464.0814	24337.7075	21293.3992	29868.4325	16421.7602	23585.8395	16692.041	11762.9725	24382.004	17870.1857	12937.3587	25315.0334	16306.3401	13389.5998	23783.7981	29576.1393	12387.3836	10510.3887	14657.4792	19740.841	7431.9013	12444.2487	8403.5387	10513.0928	20460.7648	12055.9233	superpathway of L-aspartate and L-asparagine biosynthesis
AST-PWY	225.0	13795.5451	21.4286	5100.517	1312.457	4078.9925	177.0	1124.0051	8059.9352	6861.9026	370.0	3793.4799	99.9529	5489.1612	19116.6656	191.0	557.2041	9187.9477	78.3758	147.251	8071.3935	8960.936	1699.3097	13398.1748	4408.915	12345.2656	0.0	6690.1381	43373.7919	42087.5457	770.1599	3005.5714	15616.8953	19037.5985	1680.1362	2878.3998	105.0	7.7778	1249.5982	333.9965	10.0	240.3974	334.0206	10.4839	6543.0	4230.0	42.913	9.0	721.7919	21.1671	3005.5817	31127.5171	68.764	104.9119	195.0	782.39	1265.0	318.3292	382.9636	230.0	16715.8364	898.4717	6835.0	313.4402	212.1733	204.3249	841.9577	12194.0	1440.0	135.5895	1307.7562	6179.0	9.0	23836.4	16.3636	443.0	300.0562	11160.0	753.0278	802.7968	2684.7074	12.0	3559.2866	24797.1976	40238.7945	1599.7984	1340.5989	2221.3306	7610.4645	13754.9027	4660.7876	175.0	8745.5824	4323.0	6581.922	24202.607	8513.3958	5823.9993	1573.147	134.0	938.0582	19944.0	301.9869	8667.7916	9.0	2422.0	7311.9733	53.5557	43.5683	232.543	663.0	4245.0	234.0	24970.0	378.0	196.2894	7992.0	26077.0	4521.5995	3917.3233	0.0	1357.8509	11811.5227	1198.0	47.0	15842.5903	62.0	0.0	197.0	143.531	1363.8109	11240.881	551.0	122.0	30818.797	1084.0395	1987.0435	1166.0	153.0	25876.394	282.0	236.3988	22609.3846	2656.0149	302.6162	2045.5284	15472.7605	3936.0	48951.3014	96.0	516.4303	1310.8686	2302.0	18754.4938	383.9586	111.8763	13502.3967	54.1003	162.0	4822.0	41278.0523	315.2147	7.0	493.2182	13796.7958	56.0	122.0	24.1259	49.8592	2706.5962	1453.3754	L-arginine degradation II (AST pathway)
BIOTIN-BIOSYNTHESIS-PWY	1554.8152	12670.8635	430.5633	9785.7647	2599.3728	8313.1241	819.1232	3318.9769	13710.9079	23724.4783	17287.3967	6772.0706	14180.0045	9827.5516	20129.3802	12191.6248	2032.4535	17644.0315	358.6609	14953.7396	12733.4051	24853.3248	11374.48	21381.7999	9282.3057	18011.9803	3803.6071	12976.3093	35762.869	33992.8077	7495.3082	4483.2944	20780.2162	27719.9786	8535.6403	9110.1971	300.42	47.8791	2097.3809	2457.7603	199.5885	467.4986	2138.2388	2170.2203	10074.4041	8919.8929	288.1106	26.7898	2474.2784	278.2645	6346.1199	39574.9626	8909.0805	887.2268	881.0788	1527.7269	4851.6461	1835.5999	1276.5836	689.6437	20034.0199	6368.0681	13698.0828	1512.7367	1358.4342	693.981	2225.0697	20109.9742	3735.6994	794.8249	2465.4412	13732.8398	11240.7646	20537.1042	554.0142	7185.1249	981.6788	13030.2542	6427.5463	9225.341	3776.971	19983.9224	8899.763	26929.8788	29098.9174	3919.5753	2044.0815	8749.7426	12004.3866	19422.6172	10208.1642	1132.1921	20312.4253	11953.6882	15224.5604	26901.9545	13738.1408	13979.8811	13554.7043	718.2963	2045.3269	27563.6384	2879.636	13468.0048	2410.3843	7126.2023	11832.4639	6983.8062	1712.3726	7615.6256	3006.4633	8362.7686	8262.3717	34025.674	17975.3046	1832.1714	13883.3602	33512.069	8943.1578	6064.2154	110.1015	7123.9451	18697.9394	4081.808	3280.9123	16628.643	2514.3454	523.1397	1776.0479	1272.2263	2953.0532	13448.7939	1552.8029	17604.5054	34687.077	7146.7538	9621.0796	3615.0842	7841.9202	25986.8882	5199.603	2333.237	32774.8454	4875.3147	11198.2075	3989.5761	16466.0477	21827.5077	34571.9492	5513.9648	3445.7805	4237.8603	5301.8728	18460.5195	2541.9834	2393.8714	19926.3983	1574.8873	4208.4292	10317.3075	31362.5663	5068.8574	221.6292	2045.5127	18458.0997	148.8612	3530.608	552.1374	2321.0789	6807.4148	3829.2759	biotin biosynthesis I
BRANCHED-CHAIN-AA-SYN-PWY	13183.9966	16199.0134	22698.1918	24234.487	31790.734	24655.6772	14949.6262	31358.899	22552.7679	32635.8623	16701.347	20077.4289	18591.273	31203.9268	29776.0868	24858.1515	32163.208	26953.7212	11021.9613	26806.7925	30152.8962	28569.167	25957.2542	25816.779	30878.4713	31420.8246	15983.0291	38984.9271	38524.6994	39682.3013	28400.9688	29123.5246	32159.444	34769.1859	17196.7804	16701.6208	14470.8054	18952.9097	18097.0471	26136.5904	17776.1832	19350.8165	21329.4745	16271.1666	21692.7038	18053.9638	20327.5698	21097.1866	35820.8993	30020.0586	30182.1637	40336.2435	31572.3375	27041.1518	21996.3659	49168.0164	27329.3858	20968.1664	22036.6421	15748.4794	28971.6337	41569.2913	28611.0065	32541.1097	25574.4421	28065.6148	39408.3582	36267.5309	28646.2282	19972.9055	21622.2667	24069.2717	21855.6812	26633.5814	2309.0575	25286.2362	21062.2195	28587.4821	27350.1346	28594.5703	33522.31	25822.1753	42011.8694	45109.8827	28117.5465	32009.1715	30229.9439	31735.0348	29258.902	28947.1402	32266.1849	38654.9867	31630.5127	33574.8632	37763.5785	31178.3265	19051.4207	25958.2808	38424.4102	30289.1216	22830.3659	35356.3814	28993.0397	23710.9087	24763.9124	25394.2591	28682.6449	23117.8857	19375.7722	21336.3224	25460.7766	24865.137	16679.8345	38573.8491	35349.1607	26020.2529	23140.7885	38146.5979	25059.9771	20983.6775	19357.2511	22217.2783	25780.9275	23237.8471	18914.8355	24740.2566	20204.8998	17375.5528	18300.0152	18534.5397	37037.1093	25366.7459	22735.1865	23977.1011	37123.2415	17771.6669	17754.2609	19457.9155	19632.9155	27340.6856	16240.0394	16066.2256	38605.6454	42567.5391	30452.0827	22866.7496	32553.6665	22190.2615	34062.6342	21389.3402	23862.7099	21623.9569	18048.4277	22478.4537	28728.1228	18630.0173	26012.9431	23180.5565	18485.8488	32000.4389	31490.312	22017.7	20922.5155	18459.3253	26963.6345	9742.6577	14640.432	15372.349	26302.4242	24814.7552	18296.794	superpathway of branched amino acid biosynthesis
CALVIN-PWY	12739.3173	23935.8399	18968.159	26863.8981	31070.7436	27294.9843	14718.5963	29528.6112	26200.9298	33779.2436	18020.482	22237.6237	19643.4528	29449.2821	41026.8989	21067.1029	29944.385	31536.4227	29286.6088	25774.7861	31489.1351	33237.6728	26396.0299	34669.9382	31600.4886	33363.4932	14890.2402	37624.8433	63236.3127	61147.3577	32072.8804	30230.4093	39286.1917	42671.707	18050.35	18853.2358	13101.2543	10569.8558	14043.9899	25644.7979	15935.5107	17338.322	15563.177	17405.4796	21271.9116	17140.7414	13201.6619	8979.5338	27393.4216	25611.8883	29994.975	44763.1116	31986.8915	28038.2514	20940.5956	15752.7372	23041.3362	19439.5691	22393.5521	20515.8695	42509.4943	40561.973	32177.3354	22884.236	25048.1676	24821.2104	28400.1597	45230.3655	19589.2578	19349.6204	21487.5628	26414.6196	18182.002	37927.8211	5932.2582	25291.3849	13659.3666	27939.3416	17645.8103	25506.3418	38667.6047	27053.5487	48703.4104	49665.4427	55077.4032	32869.4504	34146.1006	40733.8632	31582.2557	34505.1398	39648.5071	28271.5223	35720.0057	25655.9344	35285.565	43901.8087	31898.9434	28040.8742	22972.7854	10958.7522	23009.0956	41625.5544	28915.4363	28981.2851	24777.9068	25830.7524	31184.1984	24245.6242	20804.7998	20747.0163	24688.364	27380.2014	17133.7758	47066.7371	30406.6123	27539.5062	26320.5587	46440.2276	25217.0468	19148.7798	18752.0723	23901.2423	32825.9848	23766.0436	19573.8187	34054.1288	20874.7926	17726.1636	18211.0912	22520.4701	34011.1423	31395.0992	22835.2256	25821.6654	46985.7111	21154.9657	19026.8709	19621.4123	20797.2059	31827.5475	16215.4701	16362.7956	47977.317	43005.9796	33638.49	24112.8667	39959.289	25272.0976	46524.3999	23911.945	36404.9295	22344.0736	20899.6803	37484.6103	32004.2211	20310.8493	30593.5021	22115.9361	18264.9881	23766.478	55594.8202	19457.6415	18834.1075	19326.179	30680.5287	14601.4578	15164.2543	15248.7746	21350.608	26084.8099	17759.1037	Calvin-Benson-Bassham cycle
CATECHOL-ORTHO-CLEAVAGE-PWY	14.0	6260.33	10.0	1097.7823	554.3954	1602.4021	19.0	481.254	949.0	578.0	101.0	708.0	0.0	24.4068	9384.9987	63.2263	0.0	66.8025	0.0	0.0	3399.4998	630.8938	209.2279	3458.0	2157.6915	2117.4912	0.0	237.6526	20080.6929	20173.7083	43.4452	1029.2455	4974.1447	40.1404	244.0	0.0	0.0	0.0	424.4982	0.0	0.0	63.4884	99.0	0.0	45.0	0.0	0.0	0.0	119.0418	0.0	14.7692	6317.6239	0.0	8.4211	0.0	0.0	0.0	54.0	23.068	64.0	6871.1666	29.1734	0.0	78.0	0.0	73.4146	30.1091	14.0	10.2857	12.6316	537.0	0.0	0.0	11416.0271	0.0	16.8421	140.0	5580.0	239.0	13.8125	1291.4717	0.0	147.5601	11838.0	17511.5675	0.0	664.6872	783.3858	340.4803	2210.9773	2005.1232	17.0	0.0	14.0	577.5188	10307.4999	249.9329	0.0	747.208	19.0	408.9927	20.0	0.0	2673.7984	0.0	9.0	1897.242	20.3711	20.6742	107.0	16.0	97.4328	0.0	45.0	0.0	86.1972	307.0	9.0	938.1224	526.0	0.0	474.9439	1042.0584	120.0	0.0	11638.4056	19.0	0.0	26.0	0.0	609.3241	4715.9829	13.0	41.0	1145.0	483.4985	1694.6637	556.0	15.0	7628.0	40.0	89.0	342.9206	1221.7486	120.0	670.0	6561.9776	295.2261	23931.0	22.0	148.8462	605.0	12.0	9032.2495	147.1013	34.7746	130.7372	21.2245	0.0	287.0	20111.2498	73.2611	0.0	218.3192	60.0	15.0	5.0	0.0	0.0	8.0769	177.8533	catechol degradation to &beta;-ketoadipate
CENTFERM-PWY	1033.7541	1791.145	65.7451	3551.7637	601.2322	3791.9588	962.3547	3651.0683	3698.0656	3973.5798	2798.3807	3066.4703	2770.1909	1713.5484	6351.6864	1223.107	2396.4664	3436.7713	8.1269	2314.9647	3185.0901	5694.3797	5033.8101	6376.287	4138.4573	1015.47	581.5439	5004.0867	699.2543	6545.465	3822.6416	529.4894	4142.9133	2127.0864	3803.208	1920.9165	231.3944	181.901	1845.4411	1945.864	330.0899	41.0527	1052.1366	181.5602	187.6354	530.8164	633.9175	27.1467	1510.3237	370.7829	256.2226	841.3262	2062.2815	646.8518	1101.0817	237.7697	2478.6192	1583.2668	1603.3749	221.5894	7589.0398	3499.084	1948.0913	494.2855	449.1784	840.7646	2381.8285	1080.6522	695.7227	577.4318	1957.1197	4636.471	1401.4655	409.5622	88.7122	2908.0029	668.3683	182.8814	2188.4905	2586.7279	1975.579	2387.4941	4393.1999	606.2103	2111.8006	687.9098	3867.0843	7912.3992	494.1079	4482.0735	3346.1306	1259.1219	5091.0211	178.0666	5191.3823	2560.3703	9557.5902	2458.5764	2661.4411	138.0583	1174.384	1376.9162	1159.3647	3412.8897	169.5155	2194.1492	3067.1513	1062.5878	194.1391	1354.9862	1763.1262	2243.8149	1255.8597	679.8935	2267.0038	696.3168	1394.7939	635.7546	6847.8719	639.0335	258.9683	3118.5632	1499.38	2060.1653	771.3443	547.883	715.7915	156.8818	984.9458	817.5257	1488.312	1295.9624	629.6299	719.5331	409.6484	2642.4206	5025.6155	2477.6952	1063.208	784.6563	1392.4069	1097.5381	3391.3178	2229.3849	1158.0094	2313.3382	5937.9147	4176.3466	823.228	604.1634	2227.3586	2260.0313	1039.6608	16387.915	1660.4231	597.1533	10787.157	412.7997	1125.2531	15011.867	1481.5613	1300.6597	48.0251	1123.1331	1281.4582	17.2375	814.4125	423.3845	483.0951	3640.8498	2633.6562	pyruvate fermentation to butanoate
COA-PWY	11202.1945	14248.566	15085.8909	20341.143	27191.732	19538.477	12918.7264	22989.1822	17591.6537	25711.447	14306.996	16782.0334	15290.1813	17022.2284	21439.9587	22137.9107	22320.7627	21654.1538	26286.2494	23316.7666	23429.6624	23214.3744	21310.1474	20785.1487	25728.9922	24222.4996	13163.1585	30863.9837	30119.3467	30724.0777	22227.3649	24707.5616	25373.2895	29520.4125	14207.9441	14365.4737	11789.0319	13137.7025	9881.4933	18327.0836	11982.4423	15686.0317	14053.5037	14699.1709	13038.3323	15960.1901	12360.8549	16425.8022	20297.8737	23895.7782	24282.7412	26838.9982	26600.9042	22949.4469	18131.8281	4158.8414	22624.9362	17686.4862	18853.976	19359.3698	25507.1651	33822.6332	23843.0956	17971.457	22993.0548	22320.9321	32550.0187	21634.3839	16678.9918	16803.6595	18422.6364	20522.0458	20272.2891	23982.0569	15063.0259	21180.9634	16971.8825	25155.2494	20513.137	21774.8145	27047.1487	19520.311	39768.9671	37901.3396	27926.3145	25312.462	22081.6463	21417.4035	22744.1658	20904.0758	26554.7625	17232.4897	25641.677	31786.058	34286.8765	23825.3741	23802.0324	21485.0163	36710.6766	11745.3684	19106.059	29396.2252	25155.7339	19777.8326	21550.3143	21122.3683	23258.4927	20710.7066	18639.2564	18974.238	21527.2215	20231.0299	14381.4	32101.7628	26960.112	22936.1656	19339.9544	31672.7487	20030.4952	16505.0668	16368.6467	19171.5178	21288.7736	20167.1825	16894.1487	21312.7188	18265.8166	15330.1477	16074.9845	20137.4091	30457.0588	21095.9524	19496.7178	20410.4117	30741.4412	16691.8408	13446.5365	16425.1586	16758.3716	21020.25	13558.9306	13941.5175	31763.5721	36582.7633	24213.1384	19957.4355	26315.6935	18668.9536	26420.4989	20115.8902	26856.1972	18760.7818	15843.7971	21639.5923	25051.4966	15984.2495	21314.7465	19210.845	15794.5455	21915.0717	24511.4925	17334.4426	17192.7136	16438.073	21205.161	15759.6664	12477.3875	12796.6922	20132.3021	21409.5398	14761.9094	coenzyme A biosynthesis I
COBALSYN-PWY	8665.5749	14476.2694	11616.7847	24593.2997	36888.353	20921.0467	13975.178	12104.915	16326.5281	16782.7973	12017.9282	16738.476	14334.0574	12269.8824	27859.4384	17729.5289	5455.5823	21682.3849	144.8744	12469.2843	22788.7565	22731.6629	19401.9403	19993.5888	21678.2356	8619.654	11570.4559	17943.2864	31643.2122	31537.1162	20893.2628	31908.8993	17521.1358	28993.838	14177.8009	15770.8656	11481.9848	4520.2973	3870.3526	13701.5203	5672.8801	19277.5539	6932.5773	15753.3178	11724.2998	13384.1875	3638.4174	180.1745	10635.0025	11478.9383	9273.6836	27813.6577	17614.2109	28964.6999	18023.7028	2160.4395	14433.4923	15720.2788	23006.1919	10028.3903	23796.5608	20263.4952	17525.1819	13483.0059	20372.6784	23764.6616	10133.5133	29651.5664	8267.7356	15932.3116	19994.9192	17853.3024	15222.6832	22155.8712	852.2846	19238.8788	5166.1267	23558.8244	4688.299	11997.5255	29268.3387	16879.1034	26970.7692	31495.6343	25219.4648	26687.6319	26688.9756	25024.0416	14508.9877	19957.2715	28588.8422	12090.4086	19700.3846	27887.7974	30248.9449	24238.0348	13310.5267	13434.2521	31043.0808	621.184	17118.139	34232.4892	23135.4205	20068.1702	22498.3923	19720.5883	26122.8174	20182.2065	17840.8331	18127.8768	18261.4625	19180.3378	14529.1072	32490.8282	16540.0725	21404.8815	21883.9278	31122.8611	20600.4617	12147.1734	19141.8689	21659.034	24195.3169	21914.7719	18211.1645	17468.892	19950.3085	14675.5732	12828.6966	19249.6314	34354.0388	20641.676	19932.5495	18063.5719	30262.6547	16616.8946	12637.6508	17832.7875	15350.9429	11197.2217	12093.4078	14861.0912	30137.928	39496.4433	21581.7311	23878.4926	35242.4156	17360.6095	29649.6863	22738.8397	21606.9322	19342.5262	17747.4311	21607.9096	20812.3332	12042.9918	20357.8793	22180.2383	15609.4009	16602.9219	26984.2899	10815.1716	11039.0139	17217.6264	16145.3314	240.717	11948.5021	14951.6624	8812.8176	23903.0701	14715.756	adenosylcobalamin salvage from cobinamide I
CODH-PWY	27.9632	0.0	7.9983	49.9237	11.9973	17.9914	27.9698	33.9749	0.0	601.9386	216.1442	5.9987	0.0	0.0	0.0	11.9962	11.9972	91.662	0.0	71.8584	25.9823	41.9402	0.0	655.632	121.6671	11.9952	51.8963	0.0	214.7043	27.9608	47.9498	57.9254	91.7228	0.0	0.0	25.9701	0.0	43.937	0.0	0.0	0.0	0.0	0.0	0.0	95.566	0.0	55.9012	0.0	9.9981	45.9562	35.9703	0.0	37.9726	0.0	0.0	0.0	19.9902	0.0	105.7089	35.9658	0.0	0.0	13.994	0.0	0.0	0.0	35.9772	0.0	9.9977	23.9829	0.0	0.0	9.9971	0.0	35.957	0.0	75.8292	0.0	7.9985	123.6639	43.9622	85.8122	0.0	121.6867	5.9962	0.0	5.9993	0.0	0.0	33.946	0.0	507.6639	320.8411	215.0283	29.9829	11.9932	0.0	0.0	0.0	11.9971	5.9991	0.0	45.9569	19.9857	0.0	0.0	767.0999	0.0	0.0	0.0	0.0	0.0	9.9964	75.6043	0.0	19.9911	0.0	0.0	7.9981	0.0	9.9969	27.978	249.109	29.9765	13.9943	21.9721	33.9693	0.0	250.0753	153.3763	0.0	17.989	0.0	3.9996	0.0	0.0	0.0	19.9875	25.9795	0.0	11.9947	17.9879	2975.8237	0.0	1962.9685	0.0	0.0	0.0	0.0	43.9508	2428.0591	33.9683	241.8187	9.9959	506.9764	31.9649	0.0	0.0	0.0	0.0	0.0	0.0	7.9982	0.0	5.9976	0.0	0.0	15.9898	75.8522	0.0	0.0	reductive acetyl coenzyme A pathway
COLANSYN-PWY	2805.2993	10982.6961	1904.7178	8338.8607	2534.1257	8864.3553	1987.798	3519.108	6984.6307	18690.8832	10630.7197	3566.3751	7694.3343	7645.8785	16986.0268	14989.4716	2487.3156	9618.1934	121.9214	12322.6752	4860.8607	17398.2052	12765.5428	15160.4087	11957.3095	16769.5294	5324.7535	7392.4524	20026.7941	21963.4032	14942.585	3880.5897	16679.4421	7110.5867	7851.5839	6117.1513	2576.3246	6578.8167	1873.8141	8955.181	4187.8485	1031.0028	7055.6692	3131.1982	9142.7509	12744.9268	2677.0907	256.379	6364.6849	1777.8287	5009.6353	12745.9841	10053.4186	3399.1988	2680.6069	1816.4579	11128.2626	4622.333	2138.1845	13136.3128	16594.4161	8441.4318	9017.6308	2043.7813	13721.3615	6204.5328	5896.2704	9094.2146	8581.2102	2123.28	3485.8066	10878.7252	15154.1149	21012.4377	288.8818	8935.2916	6343.2517	23580.8251	9701.4022	16859.4197	4412.4718	15625.3744	6107.0001	28034.8487	7192.9582	4862.684	7189.6307	12480.7492	3330.2496	11693.4065	9482.2979	5305.0614	12506.325	29449.6402	28964.3991	25301.1043	5769.817	15158.2009	33826.9011	908.5357	2573.1042	14496.7085	5134.8369	9510.4831	3149.0195	7065.1937	9458.535	7421.4223	2940.4267	9853.675	2423.2789	3227.8464	7256.0523	13860.7478	18222.1461	5783.7217	6961.5736	10581.029	9422.2163	4873.4046	1118.6589	9597.2478	6657.7805	4435.4495	4725.187	5755.7954	3939.8058	1866.7415	1499.9721	8748.3732	4150.8144	9696.2018	1233.7701	12570.7192	13548.5466	7688.9728	7958.583	6519.2197	8012.6892	19995.7464	5785.2851	4090.2144	10500.879	6147.3686	10239.8013	4420.7149	12529.963	16408.1487	5446.7249	6821.2067	4694.3463	4691.3954	2003.9358	6111.793	6704.7137	1624.392	4570.7658	4251.7722	4635.9634	9278.5301	15352.7562	7649.8164	1286.2225	4835.2382	8396.1797	163.535	4732.5407	2432.981	4890.0729	4407.3252	5270.4203	colanic acid building blocks biosynthesis
